; Sample Rate 8000
; Channels 2
               0   0.032515954692  0.032515954692 
        0.000125     0.2995559019    0.2995559019 
         0.00025    0.57648723712   0.57648723712 
        0.000375    0.77256952738   0.77256952738 
          0.0005    0.88584376872   0.88584376872 
        0.000625    0.88731886493   0.88731886493 
         0.00075    0.79014213709   0.79014213709 
        0.000875    0.59382774355   0.59382774355 
           0.001    0.33256097417   0.33256097417 
        0.001125   0.027121022344  0.027121022344 
         0.00125   -0.27706588246  -0.27706588246 
        0.001375   -0.55256700795  -0.55256700795 
          0.0015   -0.75904266723  -0.75904266723 
        0.001625   -0.87908027135  -0.87908027135 
         0.00175   -0.89224395575  -0.89224395575 
        0.001875   -0.80247150315  -0.80247150315 
           0.002   -0.61561730597  -0.61561730597 
        0.002125   -0.35782164475  -0.35782164475 
         0.00225  -0.056204651482 -0.056204651482 
        0.002375    0.25086166291   0.25086166291 
          0.0025    0.52916640975   0.52916640975 
        0.002625    0.74427709216   0.74427709216 
         0.00275    0.87176287314   0.87176287314 
        0.002875    0.89601820661   0.89601820661 
           0.003    0.81428840151   0.81428840151 
        0.003125    0.63648870168   0.63648870168 
         0.00325    0.38307894859   0.38307894859 
        0.003375   0.084843005054  0.084843005054 
          0.0035   -0.22398325568  -0.22398325568 
        0.003625    -0.5057014036   -0.5057014036 
         0.00375   -0.72829484148  -0.72829484148 
        0.003875   -0.86408362631  -0.86408362631 
           0.004   -0.89840169158  -0.89840169158 
        0.004125   -0.82580818888  -0.82580818888 
         0.00425   -0.65623311186  -0.65623311186 
        0.004375   -0.40844190307  -0.40844190307 
          0.0045   -0.11293586157  -0.11293586157 
        0.004625    0.19644966722   0.19644966722 
         0.00475    0.48213895177   0.48213895177 
        0.004875    0.71122885682   0.71122885682 
           0.005     0.8558771708    0.8558771708 
        0.005125    0.89961428568   0.89961428568 
         0.00525    0.83675474254   0.83675474254 
        0.005375    0.67513064435   0.67513064435 
          0.0055     0.4335597516    0.4335597516 
        0.005625    0.14079880295   0.14079880295 
         0.00575     -0.168641923    -0.168641923 
        0.005875   -0.45814648736  -0.45814648736 
           0.006   -0.69344622595  -0.69344622595 
        0.006125   -0.84681331832  -0.84681331832 
         0.00625   -0.89997575851  -0.89997575851 
        0.006375   -0.84681936679  -0.84681936679 
          0.0065   -0.69343384355  -0.69343384355 
        0.006625   -0.45816582907  -0.45816582907 
         0.00675   -0.16861494491  -0.16861494491 
        0.006875    0.14076398825   0.14076398825 
           0.007    0.43360368721   0.43360368721 
        0.007125    0.67507650983   0.67507650983 
         0.00725      0.836820086     0.836820086 
        0.007375    0.89953714516   0.89953714516 
          0.0075    0.85596704436   0.85596704436 
        0.007625    0.71112589259   0.71112589259 
         0.00775    0.48225536477   0.48225536477 
        0.007875    0.19631983526   0.19631983526 
           0.008   -0.11279294826  -0.11279294826 
        0.008125   -0.40859641554  -0.40859641554 
         0.00825   -0.65606841957  -0.65606841957 
        0.008375   -0.82598114293  -0.82598114293 
          0.0085   -0.89822319243  -0.89822319243 
        0.008625   -0.86426422466  -0.86426422466 
         0.00875   -0.72811622685  -0.72811622685 
        0.008875   -0.50587350084  -0.50587350084 
           0.009    -0.2238227278   -0.2238227278 
        0.009125   0.084699422121  0.084699422121 
         0.00925     0.3831991097    0.3831991097 
        0.009375    0.63639835129   0.63639835129 
          0.0095    0.81434220076   0.81434220076 
        0.009625    0.89600774134   0.89600774134 
         0.00975    0.87172302883   0.87172302883 
        0.009875    0.74437404377   0.74437404377 
            0.01    0.52900530165   0.52900530165 
        0.010125    0.25109327585   0.25109327585 
         0.01025  -0.056512596551 -0.056512596551 
        0.010375   -0.35743245389  -0.35743245389 
          0.0105   -0.61609295057  -0.61609295057 
        0.010625   -0.80190536007  -0.80190536007 
         0.01075   -0.89290354634  -0.89290354634 
        0.010875   -0.87832489191  -0.87832489191 
           0.011   -0.75989520922  -0.75989520922 
        0.011125   -0.55161633994  -0.55161633994 
         0.01125   -0.27811529301  -0.27811529301 
        0.011375   0.028269806411  0.028269806411 
          0.0115    0.33131212182   0.33131212182 
        0.011625     0.5951805748    0.5951805748 
         0.01175    0.78867607517   0.78867607517 
        0.011875    0.88891954022   0.88891954022 
           0.012    0.88405849272   0.88405849272 
        0.012125    0.77466781344   0.77466781344 
         0.01225    0.57368166605   0.57368166605 
        0.012375    0.30486407271   0.30486407271 
          0.0125  -6.9849193096e-08 -6.9849193096e-08 
        0.012625    -0.3048640471   -0.3048640471 
         0.01275   -0.57368157106  -0.57368157106 
        0.012875   -0.77466788795  -0.77466788795 
           0.013   -0.88405850623  -0.88405850623 
        0.013125   -0.88891945826  -0.88891945826 
         0.01325   -0.78867611522  -0.78867611522 
        0.013375   -0.59518069681  -0.59518069681 
          0.0135   -0.33131198864  -0.33131198864 
        0.013625   -0.02826972818  -0.02826972818 
         0.01375    0.27811521664   0.27811521664 
        0.013875    0.55161626637   0.55161626637 
           0.014    0.75989519618   0.75989519618 
        0.014125    0.87832500879   0.87832500879 
         0.01425    0.89290330512   0.89290330512 
        0.014375    0.80190586951   0.80190586951 
          0.0145    0.61609232286   0.61609232286 
        0.014625      0.357433083     0.357433083 
         0.01475   0.056511586532  0.056511586532 
        0.014875   -0.25109178526  -0.25109178526 
           0.015   -0.52900684392  -0.52900684392 
        0.015125   -0.74437243911  -0.74437243911 
         0.01525   -0.87172484072  -0.87172484072 
        0.015375    -0.8960056603   -0.8960056603 
          0.0155   -0.81434434047  -0.81434434047 
        0.015625   -0.63639602019  -0.63639602019 
         0.01575   -0.38320146874  -0.38320146874 
        0.015875  -0.084697381128 -0.084697381128 
           0.016    0.22382101417   0.22382101417 
        0.016125    0.50587503333   0.50587503333 
         0.01625    0.72811521962   0.72811521962 
        0.016375    0.86426431919   0.86426431919 
          0.0165    0.89822411677   0.89822411677 
        0.016625    0.82597907819   0.82597907819 
         0.01675    0.65607182169   0.65607182169 
        0.016875    0.40859146137   0.40859146137 
           0.017    0.11279984238   0.11279984238 
        0.017125   -0.19632897386  -0.19632897386 
         0.01725   -0.48224401707  -0.48224401707 
        0.017375   -0.71113951365  -0.71113951365 
          0.0175   -0.85595092969  -0.85595092969 
        0.017625   -0.89955586009  -0.89955586009 
         0.01775   -0.83679882111  -0.83679882111 
        0.017875   -0.67510005599  -0.67510005599 
           0.018   -0.43357829796  -0.43357829796 
        0.018125   -0.14079091838  -0.14079091838 
         0.01825    0.16864311043   0.16864311043 
        0.018375    0.45813721977   0.45813721977 
          0.0185    0.69346190291   0.69346190291 
        0.018625    0.84679272166   0.84679272166 
         0.01875     0.8999999282    0.8999999282 
        0.018875    0.84679279337   0.84679279337 
           0.019    0.69346194528   0.69346194528 
        0.019125    0.45813716622   0.45813716622 
         0.01925    0.16864319472   0.16864319472 
        0.019375   -0.14079091465  -0.14079091465 
          0.0195   -0.43357814243  -0.43357814243 
        0.019625   -0.67510005319  -0.67510005319 
         0.01975   -0.83679874893  -0.83679874893 
        0.019875   -0.89955593599  -0.89955593599 
            0.02   -0.85595059209  -0.85595059209 
        0.020125   -0.71113947127  -0.71113947127 
         0.02025   -0.48224407015  -0.48224407015 
        0.020375   -0.19632904185  -0.19632904185 
          0.0205    0.11280004121   0.11280004121 
        0.020625     0.4085915843    0.4085915843 
         0.02075    0.65607171971   0.65607171971 
        0.020875    0.82597912662   0.82597912662 
           0.021    0.89822403062   0.89822403062 
        0.021125    0.86426432664   0.86426432664 
         0.02125    0.72811520007   0.72811520007 
        0.021375    0.50587512087   0.50587512087 
          0.0215    0.22382087074   0.22382087074 
        0.021625  -0.084697579965 -0.084697579965 
         0.02175   -0.38320138911  -0.38320138911 
        0.021875   -0.63639601879  -0.63639601879 
           0.022   -0.81434436655  -0.81434436655 
        0.022125   -0.89600581629  -0.89600581629 
         0.02225   -0.87172476761  -0.87172476761 
        0.022375   -0.74437252944  -0.74437252944 
          0.0225   -0.52900680248  -0.52900680248 
        0.022625   -0.25109197199  -0.25109197199 
         0.02275   0.056511553004  0.056511553004 
        0.022875    0.35743300989   0.35743300989 
           0.023    0.61609237595   0.61609237595 
        0.023125    0.80190590816   0.80190590816 
